epoch,accuracy,loss,val_accuracy,val_loss
0,0.3635314404964447,2.164383888244629,0.12420382350683212,2.714221715927124
1,0.6699365377426147,0.8788522481918335,0.4363057315349579,1.2900605201721191
2,0.6185805201530457,0.7828933596611023,0.5605095624923706,1.0808624029159546
3,0.7876514792442322,0.5473799109458923,0.6369426846504211,0.8458874821662903
4,0.7870744466781616,0.49973398447036743,0.6815286874771118,0.704235315322876
5,0.8159261345863342,0.4435042440891266,0.7165604829788208,0.6139671206474304
6,0.8395845293998718,0.39346182346343994,0.7611464858055115,0.5583459138870239
7,0.8632429242134094,0.34945356845855713,0.8121019005775452,0.47308680415153503
8,0.876514732837677,0.3235606551170349,0.8407643437385559,0.4093741178512573
9,0.9094056487083435,0.2659004330635071,0.8343949317932129,0.3973778784275055
10,0.9232544898986816,0.2319837510585785,0.8503184914588928,0.35731804370880127
11,0.9417195320129395,0.1941787749528885,0.8566879034042358,0.3415290117263794
12,0.9521061778068542,0.1609027087688446,0.8662420511245728,0.3214939832687378
13,0.9463358521461487,0.15881773829460144,0.9171974658966064,0.261746883392334
14,0.9705712795257568,0.11529240757226944,0.8662420511245728,0.3374604880809784
15,0.9607616662979126,0.1299513876438141,0.9235668778419495,0.23281548917293549
16,0.9757645726203918,0.08930682390928268,0.9267516136169434,0.22938676178455353
17,0.9792267680168152,0.07855036854743958,0.9108280539512634,0.25688955187797546
18,0.982111930847168,0.07173802703619003,0.9299362897872925,0.2127247154712677
19,0.987305223941803,0.05891259387135506,0.9394904375076294,0.19630390405654907
