epoch,accuracy,loss,val_accuracy,val_loss
0,0.23337623476982117,1.5436240434646606,0.19622965157032013,1.3882367610931396
1,0.07335907220840454,1.458139419555664,0.2566409707069397,1.3746259212493896
2,0.12741312384605408,1.4358128309249878,0.2566409707069397,1.3684680461883545
3,0.13985413312911987,1.4088664054870605,0.2566409707069397,1.3802053928375244
4,0.08365508168935776,1.405225396156311,0.285347044467926,1.371993899345398
5,0.2308022379875183,1.396289587020874,0.2600685656070709,1.3575770854949951
6,0.22865723073482513,1.3864120244979858,0.5676949620246887,1.2443641424179077
7,0.4281424283981323,1.3181225061416626,0.5132819414138794,1.1779277324676514
8,0.3933933973312378,1.1621732711791992,0.5505569577217102,1.0684325695037842
9,0.3650793731212616,1.1231683492660522,0.2707797884941101,1.4119937419891357
10,0.2329472303390503,1.3074344396591187,0.5492716431617737,0.8043891191482544
11,0.5499785542488098,0.8457234501838684,0.7943444848060608,0.7414646744728088
12,0.4320034384727478,0.8284720182418823,0.5929734110832214,0.6710759401321411
13,0.5649935603141785,0.7651261687278748,0.5848329067230225,0.6645779609680176
14,0.5834406018257141,0.7324245572090149,0.8804627060890198,0.6329185366630554
15,0.6083226203918457,0.6975233554840088,0.7180805206298828,0.5645760297775269
16,0.5486915707588196,0.6989116668701172,0.8474721312522888,0.532101571559906
17,0.7391677498817444,0.5542198419570923,0.7652099132537842,0.5755712985992432
18,0.6958386898040771,0.6025429368019104,0.9348757266998291,0.4222082495689392
19,0.9099099040031433,0.3940694034099579,0.929305911064148,0.2915492653846741
20,0.8361218571662903,0.3927972614765167,0.9601542353630066,0.2181072235107422
21,0.8884598612785339,0.2899484634399414,0.9524421691894531,0.19596239924430847
22,0.9240669012069702,0.2082946002483368,0.9468722939491272,0.14748656749725342
23,0.8948948979377747,0.24240365624427795,0.9528706073760986,0.158782958984375
24,0.9253539443016052,0.1974225789308548,0.9310197234153748,0.28076112270355225
25,0.9433719515800476,0.16206473112106323,0.9400171637535095,0.152659609913826
26,0.9099099040031433,0.19046254456043243,0.9700085520744324,0.10387203842401505
27,0.9416559338569641,0.15098707377910614,0.9575835466384888,0.11915455013513565
28,0.9643929600715637,0.09835708886384964,0.9700085520744324,0.09780222922563553
29,0.9665379524230957,0.09223561733961105,0.9708654880523682,0.09201237559318542
30,0.9746889472007751,0.07760030031204224,0.9781491160392761,0.08648543059825897
31,0.9772629737854004,0.06824617087841034,0.9777206778526306,0.08352251350879669
32,0.9789789915084839,0.06296838819980621,0.9760068655014038,0.07931927591562271
33,0.9815529584884644,0.05807453766465187,0.9768637418746948,0.07347802817821503
34,0.9832689762115479,0.05031038075685501,0.9768637418746948,0.07357742637395859
35,0.9849849939346313,0.04516909271478653,0.9768637418746948,0.06967506557703018
36,0.9867010116577148,0.04006870836019516,0.9772921800613403,0.06861598044633865
37,0.9884169697761536,0.03706490620970726,0.9768637418746948,0.0724320262670517
38,0.9897040128707886,0.03095867857336998,0.975149929523468,0.0779557153582573
39,0.9914199709892273,0.029223792254924774,0.9760068655014038,0.0835219994187355
40,0.9914199709892273,0.02901209332048893,0.9764353036880493,0.08343268930912018
41,0.9939939975738525,0.02311617136001587,0.974293053150177,0.0930364653468132
42,0.992277979850769,0.02498210035264492,0.9755784273147583,0.09349352866411209
43,0.9931359887123108,0.023572398349642754,0.9738646149635315,0.1056533232331276
44,0.993565022945404,0.018871989101171494,0.974293053150177,0.11071988940238953
45,0.9939939975738525,0.0188301969319582,0.9730077385902405,0.1236661821603775
46,0.9948520064353943,0.015767225995659828,0.9738646149635315,0.11866743117570877
47,0.9948520064353943,0.015415174886584282,0.973436176776886,0.12893250584602356
48,0.995710015296936,0.01429164782166481,0.9755784273147583,0.12884996831417084
49,0.9969969987869263,0.011650661937892437,0.974293053150177,0.13093239068984985
