epoch,accuracy,loss,val_accuracy,val_loss
0,0.3571840822696686,2.7582006454467773,0.17515923082828522,2.041950225830078
1,0.4368147850036621,1.458439826965332,0.18789808452129364,1.9265356063842773
2,0.5314483642578125,1.1601817607879639,0.19108280539512634,1.7116307020187378
3,0.5251010060310364,1.1246542930603027,0.25477707386016846,1.4951001405715942
4,0.5585689544677734,1.0145584344863892,0.29936304688453674,1.439849853515625
5,0.5793421864509583,0.9613963961601257,0.331210196018219,1.3709571361541748
6,0.5931910276412964,0.8992268443107605,0.37261146306991577,1.3001164197921753
7,0.6203116178512573,0.8868114352226257,0.3885350227355957,1.237865924835205
8,0.6243508458137512,0.8857013583183289,0.4012738764286041,1.2010321617126465
9,0.6370455622673035,0.846053957939148,0.3917197585105896,1.1883118152618408
10,0.645124077796936,0.8109615445137024,0.4394904375076294,1.126774787902832
11,0.6733987331390381,0.7835930585861206,0.4585987329483032,1.0811595916748047
12,0.6959030628204346,0.7462652921676636,0.47452229261398315,1.042202115058899
13,0.7010963559150696,0.7457999587059021,0.47452229261398315,1.0442402362823486
14,0.6987882256507874,0.7329469323158264,0.5095541477203369,0.9705009460449219
