epoch,accuracy,loss,val_accuracy,val_loss
0,0.2348528504371643,2.234616994857788,0.0031847134232521057,1.6298404932022095
1,0.3329486548900604,1.3980950117111206,0.0031847134232521057,1.4848947525024414
2,0.3202539086341858,1.3615978956222534,0.0031847134232521057,1.4963933229446411
3,0.27755337953567505,1.3350282907485962,0.0031847134232521057,1.5047717094421387
4,0.28678593039512634,1.300229549407959,0.006369426846504211,1.516650915145874
5,0.34564340114593506,1.256122350692749,0.009554140269756317,1.47915780544281
6,0.42873629927635193,1.1857128143310547,0.009554140269756317,1.4586153030395508
7,0.43392959237098694,1.1420369148254395,0.041401274502277374,1.3915290832519531
8,0.49394112825393677,1.0640650987625122,0.047770701348781586,1.3385175466537476
9,0.5158684253692627,1.028465986251831,0.05095541477203369,1.3111960887908936
10,0.5424119830131531,1.0033990144729614,0.08598726242780685,1.2715167999267578
11,0.5701096653938293,0.9577414393424988,0.12738853693008423,1.2480655908584595
12,0.6249278783798218,0.8943876028060913,0.08917197585105896,1.2282012701034546
13,0.5891517400741577,0.9186762571334839,0.20063693821430206,1.2172479629516602
14,0.6185805201530457,0.8727753758430481,0.11783439666032791,1.1925301551818848
