epoch,accuracy,loss,val_accuracy,val_loss
0,0.5277777910232544,1.336247444152832,0.90625,1.2435778379440308
1,0.8611111044883728,1.1914035081863403,0.96875,1.0874308347702026
2,1.0,1.0291225910186768,0.96875,0.8929687738418579
3,1.0,0.8044678568840027,1.0,0.6741904020309448
4,1.0,0.5821813344955444,1.0,0.44849473237991333
5,1.0,0.36793452501296997,1.0,0.2731351852416992
6,1.0,0.22265447676181793,1.0,0.15980130434036255
7,1.0,0.12178760021924973,1.0,0.0813235491514206
8,1.0,0.07005485892295837,1.0,0.04099755734205246
9,1.0,0.041007768362760544,1.0,0.035881973803043365
10,1.0,0.024601317942142487,1.0,0.020288707688450813
11,1.0,0.013033534400165081,1.0,0.010961763560771942
12,1.0,0.009431522339582443,1.0,0.007651220075786114
13,1.0,0.007777857128530741,1.0,0.006043406669050455
14,1.0,0.005213022232055664,1.0,0.005265031009912491
15,1.0,0.004243665840476751,1.0,0.004867644980549812
16,1.0,0.003467763541266322,1.0,0.004473916254937649
17,1.0,0.0030613692943006754,1.0,0.004115434363484383
18,1.0,0.002679872792214155,1.0,0.0036829430609941483
19,1.0,0.0023877129424363375,1.0,0.0031721587292850018
20,1.0,0.002117813564836979,1.0,0.0027862470597028732
21,1.0,0.0019241422414779663,1.0,0.002453748369589448
22,1.0,0.0017706913640722632,1.0,0.0022568348795175552
23,1.0,0.0016218203818425536,1.0,0.0020819634664803743
24,1.0,0.0014905777061358094,1.0,0.0019627001602202654
25,1.0,0.0013617451768368483,1.0,0.0018889105413109064
26,1.0,0.001283094403333962,1.0,0.0018293997272849083
27,1.0,0.0011908357264474034,1.0,0.0017754633445292711
28,1.0,0.0011226256610825658,1.0,0.0016245308797806501
29,1.0,0.0010321843437850475,1.0,0.0014865708071738482
30,1.0,0.0009546100627630949,1.0,0.0013700320851057768
31,1.0,0.0008876741630956531,1.0,0.0012606969103217125
32,1.0,0.0008321215282194316,1.0,0.001176606398075819
33,1.0,0.000779603433329612,1.0,0.001133832847699523
34,1.0,0.0007365006022155285,1.0,0.0010580143425613642
35,1.0,0.0006855169194750488,1.0,0.001007267739623785
36,1.0,0.0006407634937204421,1.0,0.0009473770624026656
37,1.0,0.0006068493239581585,1.0,0.0008846137207001448
38,1.0,0.0005687884404323995,1.0,0.0008468839805573225
39,1.0,0.0005382681847549975,1.0,0.0008123157895170152
40,1.0,0.0005054573412053287,1.0,0.0007733312668278813
41,1.0,0.0004766625934280455,1.0,0.0007363744080066681
42,1.0,0.00044982240069657564,1.0,0.0006955104181542993
43,1.0,0.0004221810377202928,1.0,0.0006577618769370019
44,1.0,0.0003948076628148556,1.0,0.0006037164712324739
45,1.0,0.0003684784460347146,1.0,0.000567121896892786
46,1.0,0.0003426021139603108,1.0,0.0005185831687413156
47,1.0,0.0003130544791929424,1.0,0.0004937357734888792
48,1.0,0.00028937924071215093,1.0,0.00045665501966141164
49,1.0,0.00026241110754199326,1.0,0.0004244601877871901
